word,segmentation,segment_type,related_words,notes
noisome,noi.some,verified,an.noy; irk.some,adj. 令人烦恼的（偏向烦人，骚扰人）
rebarbative,re.barb.ative,verified,,barb 倒钩、刻薄的话 barber 理发师
resentment,re.sent.ment,verified,,sentiment (过度的）情绪；基于情绪的观点
infernal,in.fern.al,verified,in.ferno; furn.ace,fern 蕨类植物 无法控制的大火 炉子
scurrilous,scur.ri.lous,verified,scur.ry; scur.vy; ob.scure; n.v; cur.mud.geon,v.碎步疾跑 坏血病 无名的；费解的； scold .责骂 老年人骂泥土 用恶语诽谤的； cantankerous adj. 脾气坏且抱怨不休的
staid,sta.id,verified,,听起来像stayed stasis 停滞的 状态 ； stagnation 停滞这个 行为 ；（空气、水因为停滞而）污浊； staid 指人， 性质 “沉稳、古板、乏味的” stale 有点馊掉的（食品或引申义） stagnate v.停滞，不进步；（因为不流动而）变污浊
taciturn,tacit.urn,verified,saturn.ine,强调话少 tacit adj. 默示的 urn 骨灰缸。 (人/表情) 严肃而令人畏惧的；强调土星性质 saturn 土星；jupiter 木星 jovial 快活的 taciturn 不爱说话的，只是纯粹的话少 morose: （长期的性情）性格极度阴郁易怒 sullen：（一时的或者长期的）生气或不爱说话的 glum 一时情绪低落，闷闷不乐的状态 sulky （因为一时不高兴而）生气或不说话的 glum (一时不爽) → sulky (闹阵脾气) → sullen (阴郁愤恨) → morose (长期阴暗)
equanimity,equa.nimity,verified,equi.vocate; equi.librium; com.pos.ure,n. 镇静 vi. 说模棱两可的话 n. 均势。心态平衡 n. 沉着，镇定；
composure,com.pos.ure,verified,ex.pos.ure; equa.nimity,n.暴露 曝光 n.（处于困境时的）镇定
harrowing,harrow.ing,verified,ow.een,harrow 耙子 ha ll
plangent,plang.ent,verified,,就是钟声那种“咣咣”响，有时候钢琴声也会响亮悲怆 plank 厚木板；政纲条款；
despondent,de.spond.ent,verified,,反义词：responsive respondent 被调查对象。被告人 mope: 时间化在do nothing上，对自己感到sorry 自怨自艾
sulky,sulk.y,verified,sull.en,sulk 动词 silk (一时的或者长期的）生气或不爱说话的 taciturn 不爱说话的，只是纯粹的话少 morose: （长期的性情）性格极度阴郁易怒 sullen：（一时的或者长期的）生气或不爱说话的 glum 一时情绪低落，闷闷不乐的状态 grim （人）严肃阴冷的。（事）令人沮丧的。（地方）阴森的 sulky （因为一时不高兴而）生气或不说话的 glum (一时不爽) → sulky (闹阵脾气) → sullen (阴郁愤恨) → morose (长期阴暗)
sullen,sull.en,verified,sul.ky,taciturn 不爱说话的，只是纯粹的话少 morose: （长期的性情）性格极度阴郁易怒 sullen：（一时的或者长期的）生气或不爱说话的 glum 一时情绪低落，闷闷不乐的状态 grim （人）严肃阴冷的。（事）令人沮丧的。（地方）阴森的 sulky （因为一时不高兴而）生气或不说话的 glum (一时不爽) → sulky (闹阵脾气) → sullen (阴郁愤恨) → morose (长期阴暗)
morose,mor.ose,verified,mor.ass,没rose ;mor =moor 高原沼泽 [mə'ræs] （比喻意义上的）泥沼 taciturn 不爱说话的，只是纯粹的话少 morose: （长期的性情）性格极度阴郁易怒 sullen：（一时的或者长期的）生气或不爱说话的 glum 一时情绪低落，闷闷不乐的状态 sulky （因为一时不高兴而）生气或不说话的 glum (一时不爽) → sulky (闹阵脾气) → sullen (阴郁愤恨) → morose (长期阴暗)
sombre,som.bre,verified,tim.bre,so .ber 没醉的 n.音质 gloomy sombrero [ sɒmˈbreərəʊ]
saturnine,satur.nine,verified,Satur.nalia; satur.nalian,"农神节 狂欢的 Saturday [sætədeɪ] 源自 Saturn 农神 jovial 开朗的，欢乐的，来自Jupiter,木星 grim （表情）严肃的;（地方）阴森森的 taciturn 不苟言笑的 saturnalia 狂欢 saturnine （表情）严肃而令人畏惧的 saturation n.饱和度"
lugubrious,lugu.bri.ous,verified,salu.bri.ous,联想：朝鲜人 lugu 拉拉蛄 lugubre (法语)阴森的、凄惨的、惨淡的 tumultuous 热烈的。动荡的。
dolorous,dol.or.ous,verified,in.dol.ent,不想工作的 doll 娃娃 doleful 悲伤的
chamomile,chamo.mile,verified,camo.mile; chame.leon,另一种写法 [kəˈmiːliən] 变色龙
allegory,al.leg.ory,verified,al.leg.ation; al.lege; al.legro; al.lergy,联想：伊索寓言 n. （未提出证据的）断言，指称，声称 v. （未提出证据）断言，指称，声称 （音乐）快板； n. 过敏 parable （尤指圣经中的）寓言故事 allegory （带讽喻的）寓言故事
archaic,archa.ic,verified,archae.ology; arche.ology,考古学 考古学
brandish,brand.ish,verified,,brand n. 品牌 ；烙印； wield 行使（权力）； 手持 （武器）
buttock,butt.ock,verified,butt.on,st ock bl ock r ock l ock sh ock
acquittal,ac.quit.tal,verified,,"impunity ( formal, disapproving ) 免于惩罚"
aphorism,a.phor.ism,verified,a.ph; eu.phor.ia; dys.phor.ia; meta.phor,格言；Hippo马crate板条箱 as .ia [əˈfeɪziə] 来自词根phase 月相；时期 欣快（症） 病理性心境恶劣 比喻 epigram 一些有趣/聪明的话或者诗句，不一定是深刻真理。目的是 让人会心一笑 或惊讶。 aphorism 常带有智慧或哲理深度，不一定广为人知，通常是个人作者的原创表达。 鲁迅说过... saying 广为人知的 maxim 行为规则或道德指导的简洁原则，该做什么不该做什么，重点是“ 规则感 ” adage 广为人知， 世代相传的俗话 ，表达常见经验或真理，带有民间智慧的感觉
azure,az.ure,verified,a.sure,发音类似 Asia，拼写类似 cyan 蓝绿色
rampant,ram.pant,verified,ram.part; ram.ble; ram.page; v.n,城墙 漫步；植物蔓生 . 横冲直撞 pant v.气喘吁吁 n. =>渴望 pants n. 裤子
spirant,spir.ant,verified,,带着“气”的 a spir ant [əˈspaɪərənt] 有雄心的人 conspirator 共谋者 spire （教堂等的）尖顶 respire vi. 呼吸 perspire vi. 出汗 （想象出的是“气”） sibilant 咝擦音
deviation,de.vi.ation,verified,,deviant 形容词；deviate 动词； devious （人）不正直的；（路）弯曲的； 比较： defiant [dɪˈfaɪənt] 公然违抗的 defiance : defiant的名词
cereal,ce.real,verified,,作“麦片”这个意思的时候，泛指各种用谷物制成的早餐麦片，包括玉米片、燕麦片、小麦片等。
clergy,cler.gy,verified,cler.k; cler.ic,文书、书记员 （职位较高的）神职人员；（旧）one of clergy ele .gy 挽诗；挽歌
sentient,sent.ient,verified,sent.in.el; sens.ible,(文学)哨兵 理智的
Antipodean,anti.pod.ean,verified,Sisy.ph.ean,
legacy,leg.acy,verified,,
apprentice,ap.prent.ice,verified,prent.ice,简写
lieutenant,lieu.ten.ant,verified,ten.ant; mi.lieu; pur.lieus,佃户 lieu [luː] in lieu of sb. 代替 社会环境； （文学）周边环境；
asphalt,as.ph.alt,verified,tar.mac,柏油碎石的路面
preliminary,pre.limin.ary,verified,,
grapple,grapp.le,verified,,grape 葡萄 grab vt. 抓住 grasp vt. 4214 抓紧；理解领会
adieu,ad.ieu,verified,mil.ieu; l.ieu,14338 代替 in lieu of adiós [ɑ:ˈdjəus] 西班牙语 dios=God
attrition,at.trit.ion,verified,nu.trit.ion; con.trit.ion; de.trit.us,营养 深感懊悔 碎屑，碎石，风化物
phosphorus,phos.phor.us,verified,,
depose,de.pose,verified,pro.pose; im.pose; re.pose; dis.pose,降级：relegate subside vi. 平息；沉降 dispose 布置 安排；处置； deposit n.存钱 押金 沉淀物 deposition n.沉淀物；废黜；证词 提议；求婚；祝酒； （政府）推行；强迫实行； 废黜 休息；搁置； 布置安排；处置；
exquisite,ex.quis.ite,verified,per.quis.ite,奖金；特权；
sewer,sew.er,verified,,sew v. 缝 sewage [ˈsuːɪdʒ] n.（下水道的）污水，污物
conclave,con.clave,verified,en.clave,联想 clave是地，conclave聚集在一块地上。 飞地 caucus 领导班子会议
discern,dis.cern,verified,con.cern,涉及。使担忧。与相关。
spatter,spat.ter,verified,,spat 小争吵 小别扭 spate （量词 ）一大片
procure,pro.cure,verified,epi.cure; se.cure; obs.cure,设法搞到 美食家 安全的；使安全 鲜为人知的；晦涩的
heretofore,here.to.fore,verified,,
conscientious,con.scien.tious,verified,con.science,. [ˈkɒnʃəns] n. 良心;内疚 science [ˈsaɪəns] meticulous 细心的，周密的 punctilious 一丝不苟循规蹈矩
convent,con.vent,verified,con.vention,习俗；大会；公约
lasso,lass.o,verified,,noose 泛指绳套，尤指绞索
deflect,de.flect,verified,in.flect; re.flect; re.fract; di.vert,fleck 色斑 微尘 （词的）曲折变化 反射；reflector 反光面、反光物体 偏离；使偏离 使折射 : 更宽泛意义上的使...转向，包括使车辆转向，使资金、注意力 转向 slew 大量；使车辆转向；
blight,b.light,verified,p.light,=>没有光泽，枯萎了 困难悲惨的状态 blotch n.（皮肤、植物、物体等上面不规则的）斑点，污点
brisket,brisk.et,verified,,brisk “嗖嗖的”又快又忙的；天气凉爽清新的 鸡胸肉： chicken breast
trickle,trick.le,verified,,trick n.诡计
legume,leg.ume,verified,,
obscurity,ob.scur.ity,verified,ob.scure; scur.ri.lous; liv.ion,原意：昏暗看不清 形容词 用污言秽语谩骂的 ob. 无意识的状态；无名气的状态；完全被摧毁的状态。
nucleus,nu.cle.us,verified,nu.clear,adj.
squire,squ.ire,verified,squ.irt; squ.ir.rel,v.喷射（液体） 松鼠
resign,re.sign,verified,,
ecclesiastical,ec.clesi.astical,verified,,clesi 发音类似 Hkaleesi of the great grass sea clesi = claim 呼喊 ce·les·tial [səˈlestiəl] 天上的 aster 拉丁语 星星； asterisk 星号 *
vanquish,van.quish,verified,van.ish,（莫名其妙地）突然消失；消失 quash v.上诉法院撤销判决；制止
deacon,dea.con,verified,bea.con,灯塔，烽火台等；信标；
episcopal,epi.scop.al,verified,,scope [skəʊp] 联想：有主教监视的制度
falter,fal.ter,verified,v.n,fall fault quaver .嗓音的颤抖；八分音符
secular,secu.lar,verified,secu.rity,[sɪˈkjʊərəti] sacred [ˈseɪkrɪd] 反义词
furnish,furn.ish,verified,furni.ture,家具 finish embellish v. 装点装饰；给故事添加（夸张）细节；
commerce,com.merce,verified,com.merc.ial; com.mence.ment,[kəˈmɜːʃl] 形容词 mercy n.开始 n.学位授予典礼
bivouac,bi.vou.ac,verified,de.vou.t,比武爱客 虔诚的
spiffy,spi.ffy,verified,,（29148） huffy (informal 43954) 气鼓鼓的 spiteful 恶意的，故意让人难受的 sassy 1.粗鲁无礼的；2.时髦且自信的
pompous,pomp.ous,verified,,pump [pʌmp] 泵
arable,ar.able,verified,,arab [ˈærəb] 阿拉伯人；阿拉伯的 Ara·bian [əˈreɪbiən] 阿拉伯的 Arab·ic [ˈærəbɪk] 阿拉伯语；阿拉伯语的；
entourage,en.tour.age,verified,re.tinue,意思一模一样：一群随行人员 entente 国家间的友好关系
diaspora,dia.spora,verified,spora.dic,零星的 spore 孢子
lasagne,la.sa.gne,verified,,也写成 lasagna
tortellini,tor.tel.lini,verified,,中国饺子，两个角捏在一起。 联想：托塔里尼，不是墨索里尼。 ravioli 一大排倒好了馅，一盖，小滚轮切开。 torte [ˈtɔ:tə] 奶油巧克力水果大蛋糕 tor·toise [ˈtɔːtəs] 陆龟
maggot,mag.got,verified,fag.got,美国英语 = fag 烟屁股。男同性恋。苦工 bigot （种族、宗教或政治的）顽固盲从者
extant,ext.ant,verified,ext.ent; ext.end,-ant 现在分词 extinct adj. 已经灭绝的 n.程度；范围 v. 扩展
correspondence,cor.respond.ence,verified,cor.respond.ent,一起回应=>往来通信 记者、通讯员、与...写信的人
sermon,ser.mon,verified,sum.mon,[ˈsʌmən] 传唤；召集；请求
prescriptive,pre.script.ive,verified,pre.script.ion; de.scribe,n.处方 v. 描写；描画
quotidian,quot.id.ian,verified,quot.a,配额 . quotient [数学]商
conscience,con.sci.ence,verified,sci.ence; con.sci.en.tious,良心 科学 努力的
sinister,sin.ist.er,verified,,
eclipse,ec.lip.se,verified,el.lipse,[ ɪˈlɪps ] 椭圆
evangelist,ev.angel.ist,verified,re.venge; n.v; ev.angel.ic.al,ev=eu好 [rɪˈvendʒ] . 复仇 adj. n. 福音派
perception,per.cept.ion,verified,per.cept.ive; in.cept.ion; per.spec.tive,这3个意思都大致对应汉语的“感觉” 想象：用手在空中，这抓一下，那抓一下 per:到处 cep:抓 adj.洞察力强的。（术语）视觉的听觉的感觉的 开端；创始 观点；远景；透视图 观念(49%)，洞察力(45%)，认识能力(6%)
insinuate,in.sinu.ate,verified,in.nu.endo,名词
Reich,rei.ch,verified,,
Aryan,Ary.an,verified,,Stark家的二女儿叫Aria [ˈɑ:riə] （咏叹调）Sansa （手指钢琴）
tinnitus,tin.nit.us,verified,,nit 虱子(33%)没用的人(67%) 词频15685 teeny-tiny 很小的
deodorant,de.odor.ant,verified,per.spir.ant,anti+
kerosene,kero.sene,verified,,
palatable,palata.ble,verified,,palate [ˈpælət] 上颚；品尝美味的能力
dingy,ding.y,verified,,"可能来自 dung ,粪 dinghy [ ˈdɪŋi] [ˈdɪŋɡi] 敞篷小船"
baffle,baff.le,verified,waff.le; raff.le,/ˈwɒfl/ 华夫饼干；废话； [ˈræfl]n. 抽奖； confound v. 使困惑惊讶；证明sb.有错 perplexity n.困惑迷惘=confusion
knead,kn.ead,verified,kn.eel,发音：need v.跪下
proactive,pro.active,verified,re.active,1.被动反应的；2.（化学）能够起反应的
grievance,griev.ance,verified,,grief n.悲痛；悲痛的事；忧虑 grieve grief 的动词。
slander,sl.and.er,verified,sl.ant; v.n,sl- 滑 slide .使倾斜;倾斜 .有倾向性的报道 libel . （文字）诽谤 fraud n. 诈骗罪。诈骗犯。冒牌货。
blatant,blat.ant,verified,,brat 顽童 flagrant [ˈfleɪɡrənt] flag [flæɡ]
compelling,com.pell.ing,verified,re.pell.ent; ap.peal.ing,三个意思全是 enchanting ，吸引人，让人无法抗拒。 令人厌恶的；驱虫剂 吸引人的；恳求的
impertinent,im.per.tin.ent,verified,per.tin.ent; con.tin.ent; per.tin.acious,tin=ten，抓住不放 相宜的；相关的 大陆 非常坚定，执拗的； adj. 与...有关的（不是指有联系，而是指相宜的，合适的） 比如“不要提无关的问题” 所以 impertinent 就是不恰当的=>粗鲁不恭的 区别：impudent 是对任何人都不礼貌
prominent,pro.min.ent,verified,e.min.ent,adj. （在专业中）杰出的；有名的； salient 意思几乎相同。 prominent更强调物理上的突出。
disrupt,dis.rupt,verified,dis.turb; per.turb,打断（或尝试打断）事情 是真正的“打搅”。干扰事情；干扰心神 干扰心神
broccoli,broc.coli,verified,broch.ure,[ˈbrəʊʃə(r)] n.手册，小册子 cauliflower [ˈkɒliflaʊə] 花菜
facetious,face.tious,verified,fri.vol.ity,联想做鬼脸耍宝 n.轻浮不恰当的傻事、乐子
lavender,la.vender,verified,,vendor 卖家
dysentery,dys.ent.ery,verified,dis.sent.er,entry 入口 sentry 哨兵 持不同意见者 diarrhoea 腹泻
arachnid,a.rach.nid,verified,,knit 编织
haptic,hap.tic,verified,hap.less,不幸的
abscond,abs.cond,verified,condi.ment,-cond 隐藏 调料（隐藏腐臭味道）
macho,ma.cho,verified,pon.cho,“麻球” 西班牙语：大锤 machete macho的小词 => 大砍刀 “胖球” 斗篷
faculty,fac.ul.ty,verified,fact.ory,
luscious,lu.sc.ious,verified,con.sc.ious; lustr.ous,所有3个意思都是指向“肥美的” adj.意识到；有意识的； lust 色欲; lusty 健壮的 柔软光亮的
tinker,tin.ker,verified,tin.der,“锡客”，用容易熔化的锡补铁 引火物；火绒 tin 锡；罐头；马口铁；
guerrilla,guerr.illa,verified,,gor. illa [gəˈrɪlə]大猩猩 van. illa 香草
treachery,trea.chery,verified,trea.son; but.chery; debau.chery,叛国罪 n.屠杀 n.（涉及酒色毒的）败坏行为； 壕沟：trench /trentʃ/ 樱桃：cherry /ˈtʃeri/
feisty,fei.sty,verified,pig.sty; sty.mie,fei- =fight 原意：臭狗，与fart 同源 [ˈpɪɡstaɪ] 猪圈 阻挠；阻碍；
chasm,cha.sm,verified,cha.ris.ma; char.m,超凡的个人魅力；号召力 魅力
squalid,squa.lid,verified,,lid 盖子 squall [ skwɔːl]大声啼哭；暴风雨中的狂风； squad 特别行动小队，班；
protrude,pro.trude,verified,in.trude,vi. 闯入；打搅
constipation,con.stip.ation,verified,stip.end; stip.ple; v.n; stip.ul.ation,stip = stiff 硬 （尤指神职人员的）定期津贴 .点画（绘画技法） （文件、合同的具体）规定；
expletive,ex.ple.tive,verified,com.ple.ment,联想，去过度补充的 v. 补足； n.补语 vehement adj.情绪激动的，尤其是愤怒的； invective 恶言；咒骂的话；
conceit,con.ceit,verified,,deceit是骗别人，这是骗自己 =>自负 这三个意思引向一个基本意思：你自己觉得很好的东西； conceive vt. 想出（主意、计划等）；想像；怀孕 deceit n. 欺骗； 自负( 77% )，幻想( 13% )，好评( 6% )，个人观点( 2% )，字字珠玑( 2% )
conceive,con.ceive,verified,con.ceit; re.ceive; de.ceive,可以看作是conceit的动词 自负；没用的花活；巧妙的比喻； gestation 相当于它的名词 n.妊娠期；构思的过程；
diarrhoea,dia.rrh.oea,verified,gono.rrh.oea,淋病 dysentery 痢疾
retention,re.ten.tion,verified,at.ten.tion; po.ten.tial,
cuckold,cuck.old,verified,cuck.oo,发音：卡扣的 [ˈkʊkuː] 布谷鸟；疯的 cuck cuckold的简写 soy boy beta cuck
derogatory,de.rog.atory,verified,ar.rog.ant; pre.rog.ative; sur.rog.ate; n.v; rog.ue,傲慢的，自大的 特权 .代理 小无赖；行为失常的 暴戾的 detractor n.恶意贬低者 pejorative [pɪˈdʒɒrətɪv] 轻蔑的；轻蔑语
salient,sali.ent,verified,re.sili.ent,salt 与prominent几乎无区别，salient更强调映入眼帘，prominent更强调物理上的突出。
echelon,eche.lon,verified,,echo
ambient,ambi.ent,verified,ambi.ence; ambi.valent; ambi.tion; ambi.guous; amphi.bian,ambi：两边。b前面必须是m，不能是n n.气氛 好坏参半的矛盾的 雄心壮志 模棱两可的 两栖动物；amphibious 两栖的
phonetic,phon.etic,verified,,phone photic （术语）光的；光照充足的； pictograph 图画文字（东巴文）；统计图表 logogram @代表at等；汉语、古埃及文字 phonetic 英语都不算，西班牙语才算
crisp,cr.isp,verified,cr.ispy,(ISP) 意思更窄一点。（食物）脆的； 脆的(74%)，挺括的(9%)，明快的(9%)，薯片(8%)
pictographic,pic.to.graphic,verified,pic.to.gram,n. 象形文字；统计图表
collate,col.late,verified,re.lated,名词：collation corroborate vt.证实（一个说法）
corroborate,cor.rob.or.ate,verified,,-robor- 强； robber 强盗 robot robust collate vt. 校勘（不同来源的信息）；整理（文件）
comprehensive,com.pre.hens.ive,verified,com.pre.hens.ible; ap.pre.hens.ive; com.pre.hend; com.pre.hens.ion; re.pre.hens.ible,与grammar school 等对应的公立学校 都包括的；综合性的 可理解的 adj. 忧虑的担心的 v.（常用于否定句）理解；领悟 理解力 因为不道德而应该谴责的
flout,fl.out,verified,cl.out,联想:封城期间跑到街上喊 n. 影响力； 猛击；
whammy,wham.my,verified,hap.less,adj.不幸的 fluke n.幸运
comprehensible,com.pre.hens.ible,verified,com.pre.hens.ive; com.pre.hens.ion; com.pre.hend; re.pre.hens.ible; ap.pre.hens.ive,全面的；综合性的 理解力 v.(常用于否定句）理解；领悟 因为不道德而应该谴责的 忧虑的担心的
rudimentary,rudi.ment.ary,verified,,rude pristine 还有一个意思: 崭新的
cathode,cath.ode,verified,an.ode,负极：nagative electrode 电势低的地方是负极。 阴极：电化学反应的一个术语。 得电子的极，也就是发生还原反应的极。 得電子價態降低被还原；所以是原电池中的正极，电解池中的负极。
polyp,poly.p,verified,,
tantalize,tan.tal.ize,verified,,忐忑 taunt 嘲弄
aplastic,a.plast.ic,verified,plast.ic,非塑料的 塑料
shrivel,shri.vel,verified,v.n,shr- 缩小 shrink v. 缩小。退缩。心理医生。 shrill 尖叫 shriek . 尖叫 shovel [ˈʃʌvl] 铲子
barter,bart.er,verified,bar.ge; bar.gain,Bart 人名 驳船；横冲直撞； [ˈbɑ:gən] v.讨价还价 n.协议
incite,in.cite,verified,in.cise; cit.ation,（在表面）雕刻； cite v.引用；联想：挑出来用 n.引用； foment [fəʊˈment]
seditious,sed.it.ious,verified,sed.it.ion; sedi.ment,联想：种下 名词 （地质）沉淀 seduce v. 诱奸；诱骗 sedulous [ˈsedjʊləs] 勤勉的
flurry,flu.rry,verified,flu.ffy; flu.ff; flu.tter,量词：一阵（小雨/窸窣...） adj.毛茸茸的 蓬松的；空洞的 n.绒毛；v.搞砸 v.颤动 拍动
convene,con.vene,verified,con.venor; con.vention,[kən'vi:nə] n. 会议召集人 习俗。大会。公约
shamble,sham.ble,verified,sham.poo,shame [ ʃæmˈpu:]香波 limp 是因为受伤或残疾
nautilus,naut.il.us,verified,naut.ic.al,
acquiesce,ac.qui.esce,verified,ac.qui.esc.ence; qui.escent; ac.quit; ac.quitt.al; ac.quire; ac.quaint.ance,qui安静 esce动词后缀 名词 沉寂的。（疾病）不活动的 v. 宣判无罪； n. 无罪判决 v. 获得 熟人 -esce 构成动词，表述动作的开始
comprise,com.prise,verified,com.primise; com.pli.ment,prise [praɪz] v. 掰开；撬开 [ˈkɒmprəmaɪz] v. 妥协
cellulose,cellu.lose,verified,cellu.loid; nitro.cellulose,细胞丢失=>只剩下纤维了 [ˈseljulɔɪd]赛璐璐（硝化纤维素+25%樟脑） fibre （日常用语）纤维，包括食物中的和绳子木材中的 ['naɪtrəʊ'seljʊləʊs] 硝化纤维素。
polyester,poly.e.ster,verified,,抓绒 polar fleece 由polyster制成。 nylon [ ˈnaɪlɒn ] ] rayon 人造丝
envelope,en.ve.lope,verified,en.ve.lop; de.ve.lop,信封 动词 包围
modal,mod.al,verified,mod.el,[ˈməʊdl] [ˈmɒdl] 模特；模型；
pinnacle,pin.na.cle,verified,obs.ta.cle; a.cle,mir.
impart,im.part,verified,,联想，使得A成为B的一部分 意思1：把信息给别人 意思2：把性质给别人
autolyse,auto.lyse,verified,auto.lysis; ana.lyse; para.lyse; electro.lyse,名词 自溶 分析 使无力使麻痹 电解 醒面的通俗说法是 rest
cringe,crin.ge,verified,frin.ge; in.fringe; vi.n,n. adj. 边缘；刘海 触犯（法律）；侵害（权益）； flinch （突然）退缩；畏缩 wince . (因痛苦或尴尬）龇牙咧嘴，皱眉
antics,antic.s,verified,,就是一个复数 antic 形容词 anti-
marvel,marv.el,verified,marb.le; mave.rick,大理石。玻璃弹子。（失去）理智。 特立独行的人
wedge,we.dge,verified,bri.dge; le.dge; e.dge; wed.ding,楔xiē子 岩石突出部分；挑出的窗台 婚礼； wed 动词，办婚礼
perseverance,per.sever.ance,verified,sever.ance,[ˈsevərəns] 断绝（关系）；解雇； sever [ˈsevər] 切断 per se 拉丁语： 本质上
equinox,equi.nox,verified,equa.tor; sol.stice,-nox 夜 n. 赤道 [ɪˈkweɪtə(r)] 冬至/夏至
vulgar,vul.gar,verified,vul.ture,秃鹫；乘火打劫的人 vulval 女性的外阴 vulcan 瓦肯人 volcano 火山 vague 模糊的； vogue 流行；
parole,par.ole,verified,par.ley,假释；与language对应的概念，指具体的实际生活中的言语，而非抽象的语法结构（language) 和谈；对话；
mutilate,mut.il.ate,verified,mut.ant,打变形了 变异的 mutiny [ˈmjuːtəni] (士兵、船员)哗变
catechumen,cate.chu.men,verified,cate.chism; cate.gory,发音：Catty kill men 教理问答 n.种类
embellish,em.bell.ish,verified,,bella n.女性名；英国的一份周刊名称 furnish v. 布置家具；供应；
eschatology,es.chat.ology,verified,,es- 等于 ex-
arguably,argu.ably,verified,pre.sum.ably,-ably [prɪˈzju:məbli] adv. 大概；很可能； argue v. 争论；争吵；表明了； it is arguable that… ... 是 有道理的 。 it is arguable whether… ... 是 可疑的 ，未必有道理的。
avenue,a.venue,verified,re.venue; par.venu,林荫大道 收益； venue （演出等活动的）场所； 没有e n. 暴发户
formaldehyde,formal.de.hyde,verified,formal.ing,hide [ˈfɔːməlɪn] 福尔马林 form. ic 蚁酸 methyl- 甲基
suspicious,sus.pic.ious,verified,,suspect 动词
thwart,th.wart,verified,stal.wart,wart 疣；瘊子；肉赘 忠实的；为党做了很多事的忠诚拥护者 stymie (informal)
belch,bel.ch,verified,bel.ly; bir.ch,肚子 白桦 hiccup 呃逆（响，重复）； burp 打嗝；拍婴儿使它打嗝； belch 打嗝；大量喷发（烟、火）；
desiccant,de.sicc.ant,verified,de.sicc.ated; sicc.ative,-sicc- 不常见；常见的是 -ciss- 如narcissism adj. 除湿的 n.一种油漆中的干燥剂（并不是除水，事实上是一种催化剂）
assent,as.sent,verified,con.sent; n.v; con.sensus; con.sensual,它比consent 更正式一些 . 同意；批文 n. 共识；一致同意 adj. 双方同意的
inexorable,in.ex.ora.ble,verified,in.ex.plic.able; in.evit.able,=>不能劝阻的=>不可阻挡或改变 oral 无法解释的 不可避免的（躲不开的） orator 演讲者 exortic [ɪɡˈzɒtɪk] 有异域风情的
sombrero,somb.rero,verified,to.rero; somb.er,[təʊ'reɪrəʊ]（尤指徒步的）斗牛士 阴郁的；昏暗的；
panoramic,pano.ram.ic,verified,pano.rama; pano.ply,名词 全套的盔甲；巨大数量（的收藏品）
sloppy,slop.py,verified,,slope n.斜坡。v.倾斜。n.斜率。 草率的(40%)，肥大的(28%)，稀薄的(15%)，潦草的(12%)，庸俗感伤的(5%)
marquee,mar.quee,verified,mar.quis; mar.quise,词源mark 封疆大吏 [ˈmɑ:kwɪs] count [mɑ:ˈki:z] 侯爵夫人
boggle,bogg.le,verified,,bog （腐烂植物形成的）沼泽；（英国俚语）厕所； baffle n.困惑v.使困惑
schematic,sche.matic,verified,,schema [ˈskiːmə] （计划或理论的）提要，纲要 scheme [ski:m] 方案、设计、计划 图解的(72%)，扼要的(28%)
waffle,waf.fle,verified,baf.fle; raf.fle,词源是weave，所以有“瞎说一气”“拿不定主意”的意思。 [ˈbæfl] 使困惑 [ˈræfl] n. 抽奖 华夫饼干(41%)，胡扯、闲聊(59%)
garner,gar.ner,verified,ga.ther,[ˈgæðə(r)]
pomegranate,pome.gran.ate,verified,gran.ite,pome泡蜜 [ˈgrænɪt] 花岗岩 麸皮：bran
compromise,com.pro.mise,verified,pro.mise; pre.mise,com一起pro支持mise鼠辈 [ˈprɒmɪs] 承诺 [ˈpr e mɪs] 前提 comprise [kəmˈpraɪz] v.包含
enema,e.nema,verified,e.nemy; ci.nema,不口服，不是泻药 电影院；电影艺术； laxative purgative 才是泻药
corduroy,cord.ur.oy,verified,,
lethargy,le.thar.gy,verified,le.thal,[ˈli:θl] adj. 致命的
cumulus,cu.mul.us,verified,,accumulate v. 积攒 tumulus （古墓的大的）坟堆 tumultuous 激荡的
prong,pr.ong,verified,pro.long,vt. 延长； prone [prəʊn] 易于...的。俯卧的。 throng [θrɔːŋ] n. 蜂拥
condominium,condo.mini.um,verified,,condom condominium 是中国式的公寓房 简称 condo [ ˌkɒndəu] apartment 在结构上与condo一样，但是房子只出租不卖；flat （英国英语）的apartment
accredit,ac.cred.it,verified,,sth(坏事) reside in sb：归根于；原因在于 sth(权力) riside in/with sb. 归属于
covert,cover.t,verified,over.t,cover 公开的
miserly,miser.ly,verified,,miser [ˈmaɪzə(r)] 吝啬鬼 misery [ˈmɪzəri] 痛苦 measly [ˈmi:zli] 数量极少的 ； measles 麻疹 meager adj. 最常用。数量不足，低于正常或期望值(9821) paltry adj.（贬义）数量少到可以忽略不计.无价值的(16454) negligible adj.强调数量小到无关紧要，不值得考虑(12388) miserly 吝啬的 (93%) ，少量的(7%) (30127) exiguous 词频过低无法显示
succumb,suc.cumb,verified,en.cumb.er; in.cumb.ent,-cumb 躺 vt.阻碍；拖累 n.在任者 comb 梳子 -cumb- 还可以写成 -cub- incubus succubus cubicle 大房间中的小房间；办公室的小隔间
pervasive,per.vas.ive,verified,per.vade; in.vade,v. 渗透 wade v. 涉水 v. 入侵
